FacilityID;FacilityName;Lat;Long;Category;Concentration;cluster;height_07;height_08;height_09;height_10;height_11;height_12;height_13;height_14;height_15;height_16;height_17;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
6669.0;Grupa Ożarów S.A.;50.902626;21.680992;Cement;14-33%;-1;2110000000.0;2100000000.0;1610000000.0;1740000000.0;2010000000.0;1830000000.0;1610000000.0;1840000000.0;2000000000.0;1770000000.0;2040000000.0;2110000000.0;2100000000.0;1610000000.0;1740000000.0;2010000000.0;1830000000.0;1610000000.0;1840000000.0;2000000000.0;1770000000.0;2040000000.0
6670.0;Dyckerhoff Polska Sp. z o.o.;50.806308;20.562687;Cement;14-33%;202;963000000.0;965000000.0;888000000.0;927000000.0;967000000.0;861000000.0;913000000.0;688000000.0;728000000.0;1030000000.0;906000000.0;963000000.0;965000000.0;888000000.0;927000000.0;967000000.0;861000000.0;913000000.0;688000000.0;728000000.0;1030000000.0;906000000.0
6671.0;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddział Elektrociepłowania Kielce;50.897778;20.616389;Power plant(unspecified);3-8%;-1;182000000.0;178000000.0;210000000.0;223000000.0;201000000.0;219000000.0;222000000.0;225000000.0;241000000.0;256000000.0;268000000.0;182000000.0;178000000.0;210000000.0;223000000.0;201000000.0;219000000.0;222000000.0;225000000.0;241000000.0;256000000.0;268000000.0
6672.0;Enea Elektrownia Połaniec Spółka Akcyjna;50.438088;21.336805;Coal power plant;12-15%;-1;5470000000.0;5140000000.0;6020000000.0;7290000000.0;7070000000.0;6430000000.0;5570000000.0;6120000000.0;6300000000.0;7730000000.0;7030000000.0;5470000000.0;5140000000.0;6020000000.0;7290000000.0;7070000000.0;6430000000.0;5570000000.0;6120000000.0;6300000000.0;7730000000.0;7030000000.0
6676.0;Lafarge Cement S.A., Cementownia Małogoszcz;50.843233999999995;20.2413245;Cement;14-33%;203;1717000000.0;1532000000.0;1318000000.0;1297000000.0;1768000000.0;1443000000.0;1360000000.0;1395000000.0;1299000000.0;1399000000.0;1416000000.0;1250000000.0;1100000000.0;886000000.0;893000000.0;1280000000.0;1070000000.0;955000000.0;1020000000.0;886000000.0;1000000000.0;1050000000.0
6677.0;Lhoist Bukowa Sp. z o.o.;50.843233999999995;20.2413245;Cement;14-33%;203;1717000000.0;1532000000.0;1318000000.0;1297000000.0;1768000000.0;1443000000.0;1360000000.0;1395000000.0;1299000000.0;1399000000.0;1416000000.0;467000000.0;432000000.0;432000000.0;404000000.0;488000000.0;373000000.0;405000000.0;375000000.0;413000000.0;399000000.0;366000000.0
6678.0;Miejska Energetyka Cieplna Sp. z o.o., Ciepłownia;51.017922;21.448386;Power plant(unspecified);3-8%;201;120000000.0;112000000.0;128000000.0;122000000.0;102000000.0;109000000.0;101000000.0;0.0;0.0;0.0;102000000.0;120000000.0;112000000.0;128000000.0;122000000.0;102000000.0;109000000.0;101000000.0;0.0;0.0;0.0;102000000.0
6679.0;PILKINGTON POLSKA Sp. z o.o.;50.666667;21.75;Other;;-1;107000000.0;110000000.0;105000000.0;0.0;100000000.0;0.0;0.0;0.0;0.0;0.0;0.0;107000000.0;110000000.0;105000000.0;0.0;100000000.0;0.0;0.0;0.0;0.0;0.0;0.0
6684.0;"Zakłady Przemysłu Wapienniczego ""Trzuskawica"" S.A.";50.876308;20.562687;Other;;202;527000000.0;480000000.0;459000000.0;501000000.0;554000000.0;534000000.0;509000000.0;506000000.0;534000000.0;516000000.0;548000000.0;527000000.0;480000000.0;459000000.0;501000000.0;554000000.0;534000000.0;509000000.0;506000000.0;534000000.0;516000000.0;548000000.0
6687.0;'CEMEX' SIA, cementa ražotne;56.696267;22.5688465;Cement;14-33%;204;363000000.0;358000000.0;328000000.0;670000000.0;0.0;835000000.0;776000000.0;802000000.0;678000000.0;506000000.0;639000000.0;363000000.0;358000000.0;141000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6698.0;Kotkamills Oy, Kotkan tehtaat;60.54979;26.95848;Pulp and Paper;7-20%;205;1455000000.0;1329000000.0;658000000.0;1439000000.0;1378000000.0;1302000000.0;1277000000.0;1388000000.0;1417000000.0;1343000000.0;1359000000.0;581000000.0;561000000.0;421000000.0;549000000.0;507000000.0;481000000.0;490000000.0;485000000.0;524000000.0;461000000.0;502000000.0
